date,max_temp,min_temp,crowd_level
2012-05-24,70°F,63°F,3
2012-05-25,68°F,57°F,8
2012-05-26,68°F,54°F,8
2012-05-27,75°F,53°F,8
2012-05-28,79°F,58°F,8
2012-05-29,77°F,60°F,8
2012-05-30,74°F,61°F,5
2012-05-31,79°F,62°F,5
2012-06-01,72°F,62°F,5
2012-06-02,74°F,62°F,6
2012-06-03,72°F,63°F,6
2012-06-04,71°F,63°F,6
2012-06-05,74°F,62°F,6
2012-06-06,80°F,57°F,6
2012-06-07,78°F,59°F,6
2012-06-08,74°F,61°F,6
2012-06-09,71°F,61°F,6
2012-06-10,74°F,61°F,6
2012-06-11,75°F,60°F,6
2012-06-12,76°F,62°F,5
2012-06-13,71°F,62°F,5
2012-06-14,73°F,61°F,10
2012-06-15,71°F,62°F,10
2012-06-16,75°F,63°F,10
2012-06-17,83°F,61°F,10
2012-06-18,77°F,63°F,10
2012-06-19,75°F,62°F,10
2012-06-20,75°F,61°F,10
2012-06-21,75°F,63°F,10
2012-06-22,77°F,62°F,10
2012-06-23,77°F,61°F,10
2012-06-24,80°F,60°F,10
2012-06-25,79°F,58°F,10
2012-06-26,80°F,57°F,10
2012-06-27,82°F,59°F,10
2012-06-28,80°F,59°F,10
2012-06-29,83°F,62°F,10
2012-06-30,79°F,60°F,10
2012-07-01,77°F,64°F,10
2012-07-02,75°F,64°F,10
2012-07-03,74°F,63°F,10
2012-07-04,71°F,64°F,10
2012-07-05,74°F,64°F,10
2012-07-06,79°F,64°F,10
2012-07-07,78°F,61°F,10
2012-07-08,82°F,59°F,10
2012-07-09,86°F,61°F,10
2012-07-10,87°F,64°F,10
2012-07-11,86°F,63°F,10
2012-07-12,78°F,65°F,10
2012-07-13,88°F,68°F,10
2012-07-14,79°F,65°F,10
2012-07-15,74°F,64°F,10
2012-07-16,74°F,63°F,10
2012-07-17,76°F,64°F,10
2012-07-18,84°F,62°F,10
2012-07-19,86°F,66°F,10
2012-07-20,87°F,67°F,10
2012-07-21,85°F,66°F,10
2012-07-22,80°F,65°F,10
2012-07-23,80°F,65°F,10
2012-07-24,78°F,64°F,10
2012-07-25,78°F,61°F,10
2012-07-26,79°F,61°F,10
2012-07-27,78°F,61°F,10
2012-07-28,81°F,58°F,10
2012-07-29,78°F,61°F,10
2012-07-30,77°F,64°F,10
2012-07-31,78°F,65°F,10
2012-08-01,82°F,65°F,10
2012-08-02,79°F,64°F,10
2012-08-03,77°F,65°F,10
2012-08-04,78°F,66°F,10
2012-08-05,85°F,63°F,10
2012-08-06,89°F,65°F,10
2012-08-07,88°F,68°F,10
2012-08-08,90°F,70°F,10
2012-08-09,89°F,69°F,10
2012-08-10,93°F,71°F,10
2012-08-11,90°F,71°F,10
2012-08-12,96°F,73°F,10
2012-08-13,90°F,72°F,9
2012-08-14,90°F,71°F,9
2012-08-15,82°F,68°F,9
2012-08-16,92°F,68°F,9
2012-08-17,96°F,72°F,9
2012-08-18,89°F,72°F,9
2012-08-19,89°F,72°F,9
2012-08-20,87°F,71°F,7
2012-08-21,82°F,70°F,7
2012-08-22,81°F,71°F,8
2012-08-23,82°F,70°F,8
2012-08-24,78°F,69°F,8
2012-08-25,78°F,67°F,7
2012-08-26,84°F,67°F,7
2012-08-27,92°F,62°F,5
2012-08-28,93°F,67°F,5
2012-08-29,87°F,71°F,5
2012-08-30,89°F,72°F,5
2012-08-31,87°F,69°F,5
2012-09-01,89°F,63°F,6
2012-09-02,88°F,59°F,7
2012-09-03,88°F,63°F,7
2012-09-04,94°F,68°F,2
2012-09-05,88°F,72°F,2
2012-09-06,87°F,69°F,2
2012-09-07,88°F,69°F,6
2012-09-08,86°F,68°F,6
2012-09-09,91°F,70°F,5
2012-09-10,87°F,73°F,3
2012-09-11,80°F,71°F,2
2012-09-12,85°F,71°F,3
2012-09-13,89°F,68°F,2
2012-09-14,102°F,66°F,8
2012-09-15,102°F,70°F,7
2012-09-16,84°F,68°F,8
2012-09-17,82°F,68°F,4
2012-09-18,85°F,63°F,3
2012-09-19,88°F,65°F,3
2012-09-20,88°F,65°F,1
2012-09-21,87°F,66°F,7
2012-09-22,93°F,68°F,8
2012-09-23,92°F,68°F,7
2012-09-24,84°F,67°F,2
2012-09-25,78°F,64°F,2
2012-09-26,80°F,63°F,2
2012-09-27,82°F,63°F,1
2012-09-28,87°F,64°F,4
2012-09-29,90°F,64°F,7
2012-09-30,93°F,64°F,8
2012-10-01,98°F,65°F,1
2012-10-02,89°F,67°F,1
2012-10-03,82°F,66°F,1
2012-10-04,77°F,66°F,2
2012-10-05,77°F,64°F,6
2012-10-06,79°F,63°F,8
2012-10-07,79°F,65°F,9
2012-10-08,77°F,65°F,8
2012-10-09,76°F,64°F,3
2012-10-10,75°F,61°F,2
2012-10-11,70°F,60°F,2
2012-10-12,73°F,57°F,4
2012-10-13,78°F,57°F,10
2012-10-14,93°F,59°F,6
2012-10-15,87°F,62°F,2
2012-10-16,87°F,63°F,2
2012-10-17,94°F,63°F,4
2012-10-18,79°F,70°F,3
2012-10-19,79°F,65°F,6
2012-10-20,72°F,66°F,8
2012-10-21,74°F,65°F,9
2012-10-22,71°F,64°F,2
2012-10-23,72°F,61°F,2
2012-10-24,74°F,57°F,3
2012-10-25,79°F,54°F,2
2012-10-26,89°F,58°F,5
2012-10-27,91°F,58°F,8
2012-10-28,82°F,57°F,8
2012-10-29,82°F,54°F,2
2012-10-30,76°F,54°F,1
2012-10-31,72°F,59°F,1
2012-11-01,70°F,59°F,1
2012-11-02,71°F,57°F,5
2012-11-03,79°F,54°F,7
2012-11-04,92°F,54°F,7
2012-11-05,92°F,58°F,4
2012-11-06,80°F,57°F,6
2012-11-07,73°F,61°F,6
2012-11-08,69°F,61°F,3
2012-11-09,65°F,55°F,8
2012-11-10,65°F,46°F,9
2012-11-11,67°F,43°F,8
2012-11-12,76°F,47°F,7
2012-11-13,82°F,46°F,1
2012-11-14,74°F,50°F,1
2012-11-15,68°F,54°F,1
2012-11-16,73°F,58°F,6
2012-11-17,70°F,61°F,9
2012-11-18,71°F,57°F,8
2012-11-19,72°F,52°F,8
2012-11-20,73°F,50°F,10
2012-11-21,68°F,55°F,10
2012-11-22,71°F,54°F,10
2012-11-23,74°F,54°F,10
2012-11-24,80°F,52°F,10
2012-11-25,66°F,56°F,10
2012-11-26,67°F,55°F,2
2012-11-27,69°F,51°F,1
2012-11-28,67°F,57°F,2
2012-11-29,65°F,59°F,2
2012-11-30,66°F,62°F,8
2012-12-01,68°F,59°F,9
2012-12-02,67°F,62°F,9
2012-12-03,69°F,59°F,5
2012-12-04,69°F,56°F,5
2012-12-05,66°F,54°F,5
2012-12-06,68°F,57°F,6
2012-12-07,66°F,53°F,9
2012-12-08,66°F,53°F,9
2012-12-09,67°F,54°F,9
2012-12-10,76°F,48°F,6
2012-12-11,69°F,48°F,5
2012-12-12,63°F,54°F,7
2012-12-13,61°F,51°F,6
2012-12-14,59°F,44°F,8
2012-12-15,61°F,47°F,9
2012-12-16,57°F,54°F,9
2012-12-17,64°F,55°F,8
2012-12-18,62°F,50°F,8
2012-12-19,61°F,39°F,8
2012-12-20,68°F,43°F,9
2012-12-21,65°F,39°F,8
2012-12-22,62°F,41°F,10
2012-12-23,62°F,53°F,10
2012-12-24,64°F,51°F,8
2012-12-25,62°F,49°F,10
2012-12-26,62°F,49°F,10
2012-12-27,63°F,42°F,10
2012-12-28,63°F,41°F,10
2012-12-29,54°F,44°F,10
2012-12-30,62°F,39°F,10
2012-12-31,60°F,43°F,10
2013-01-01,60°F,43°F,9
2013-01-02,68°F,43°F,10
2013-01-03,69°F,39°F,8
2013-01-04,66°F,39°F,8
2013-01-05,63°F,38°F,8
2013-01-06,58°F,47°F,9
2013-01-07,65°F,41°F,8
2013-01-08,67°F,41°F,7
2013-01-09,66°F,45°F,8
